DATE,TOTAL CORONAVIRUS CASES,DAILY CASES,ACTIVE CASES,CURED CASES,TOTAL DEATHS,ALL BEDS NEEDED,ICU BEDS NEEDED,INVASIVE VENTILATORS NEEDED
15-02-2020,15,0,12,0,0,0,0,0
16-02-2020,15,0,12,0,0,0,0,0
17-02-2020,15,0,12,0,0,0,0,0
18-02-2020,15,0,12,0,0,0,0,0
19-02-2020,15,0,12,0,0,0,0,0
20-02-2020,15,2,10,0,0,0,0,0
21-02-2020,35,0,29,0,0,9,2,2
22-02-2020,35,0,29,0,0,19,4,4
23-02-2020,35,0,28,0,0,23,5,5
24-02-2020,53,0,48,0,0,33,8,7
25-02-2020,57,0,51,0,0,42,10,10
26-02-2020,60,1,54,0,0,56,14,13
27-02-2020,60,0,54,0,0,68,15,15
28-02-2020,63,8,57,0,0,74,17,16
29-02-2020,68,6,60,0,1,85,17,20
01-03-2020,75,23,65,0,1,99,24,23
02-03-2020,100,25,85,1,6,109,27,25
03-03-2020,124,20,106,2,9,123,30,28
04-03-2020,158,66,138,4,11,128,33,30
05-03-2020,221,47,200,0,12,129,34,31
06-03-2020,319,64,289,5,15,134,36,32
07-03-2020,435,147,401,1,19,135,37,33
08-03-2020,541,225,504,3,22,136,37,34
09-03-2020,704,163,663,11,26,148,40,36
10-02-2020,994,290,949,13,30,177,49,45
11-02-2020,1301,307,1248,2,38,233,64,60
12-03-2020,1630,329,1581,11,41,311,86,81
13-03-2020,2183,553,2126,13,48,433,120,115
14-03-2020,2771,588,2664,4,58,604,167,161
15-03-2020,3617,846,3484,15,73,838,230,223
16-03-2020,4604,987,4434,25,95,1142,312,303
17-03-2020,6357,1753,6129,30,121,1494,408,396
18-03-2020,9317,2960,9032,40,171,1953,535,519
19-03-2020,13848,4381,13548,55,239,2541,697,676
20-03-2020,19551,5653,19092,40,309,3293,906,890
21-03-2020,24418,4867,23870,75,374,4247,1175,1139
22-03-2020,33840,9422,33150,0,113,5404,1504,1458
23-03-2020,44189,10349,43199,113,132,6776,1909,2412
24-03-2020,55398,11209,54044,83,145,8422,2391,2312
25-03-2020,68905,13507,67231,16,225,10385,2964,2863
26-03-2020,86379,17474,82872,1470,247,12751,4449,3519
27-03-2020,105217,18838,100548,607,312,15554,5369,4291
28-03-2020,124788,19571,118766,760,515,18739,6369,5173
29-03-2020,144980,20192,137133,1204,515,22145,7393,6126
30-03-2020,168177,23197,158563,966,565,25596,8405,7094
31-03-2020,193353,25176,150900,946,639,29014,9401,8042
01-04-2020,220295,26942,204966,2531,1046,32457,10397,8967
02-04-2020,250708,30413,232646,1525,1049,35970,11910,9889
03-04-2020,283477,32769,262257,1880,1320,39533,12396,10824
04-04-2020,317994,34517,292687,2458,1321,42852,13322,11725
05-04-2020,343747,25753,313879,2504,1154,45802,14149,12561
06-04-2020,375348,31601,342203,2328,1243,48297,14849,13291
07-04-2020,409225,33877,371824,2101,1919,50407,14849,13892
08-04-2020,441569,32344,400987,640,1940,52269,15426,14375
09-04-2020,475515,33646,429785,3002,2017,53964,15907,14769
10-04-2020,509604,34089,460252,1923,2043,55492,16357,15139
11-04-2020,539942,30338,485427,2579,1834,56814,16784,15490
12-04-2020,567708,27766,509285,2419,1528,56844,17173,15807
13-04-2020,594693,26985,530230,3981,2348,58591,17486,16408
14-04-2020,621953,27260,553052,2457,2459,59112,17688,16186
15-04-2020,652474,30521,571061,10004,2482,59475,17798,16242
16-04-2020,682454,29980,590041,8592,2625,59719,17858,16261
17-04-2020,714822,32368,616864,2726,2535,59897,17942,16314
18-04-2020,770014,26113,635718,7656,1865,59955,18042,16397
19-04-2020,798145,28131,656755,3285,1914,59707,18080,16411
20-04-2020,824229,26084,681139,1009,2716,59080,17996,16310
21-04-2020,854385,30156,693408,10913,2804,58210,17996,16310
22-04-2020,854385,31889,718882,1118,2341,57388,17524,15818
23-04-2020,886274,38958,745151,1646,2325,56824,17298,15597
24-04-2020,925234,31889,758423,7780,2000,56508,17159,15472
25-04-2020,960651,35419,783429,22797,2035,56287,17104,15607
26-04-2020,987160,26509,807540,2576,2065,55995,17060,15403
