"USA.STATE","TOTAL.CASES","NEW.CASES","TOTAL.DEATHS","NEW.DEATHS","ACTIVE.CASES","TOTAL.TESTS"
"Alabama",12744,368,517,13,12207,157566
"Alaska",402,3,10,2,40,37045
"Arizona",33460,448,2055,30,23874,287206
"Arkansas",5003,80,107,5,1044,96258
"California",88970,1045,6066,128,55092,1428360
"Colorado",22797,315,1299,42,20007,135611
"Connecticut",39017,587,3529,57,29224,190718
"Delaware",8194,157,310,3,3919,42458
"Florida",51651,979,1423,21,19582,772669
"Georgia",42323,777,2123,42,37394,402940
"Hawaii",643,2,17,1,48,45023
"Idaho",2506,30,77,1,1050,37847
"Illinois",100418,2388,4525,146,95782,642713
"Indiana",29274,569,1864,40,25541,195738
"Kansas",8504,163,202,8,5501,66990
"Kentucky",8167,98,376,6,4872,158672
"Louisiana",35316,278,2608,27,6459,190718
"Maine",1819,78,73,1,636,40609
"Maryland",47471,527,2096,44,37737,215330
"Massachusetts",33460,448,2055,30,23874,287206
"Michigan",68151,724,4822,71,56473,438565
"Minnesota",17670,641,786,29,4657,167338
"Mississippi",11967,263,570,16,3716,120680
"Missouri",11513,152,644,19,7904,157044
"Montana",478,7,16,2,22,29726
"Nebraska",11122,276,138,19,10635,120680
"Nevada",7166,120,373,1,1754,107666
"New Hampshire",3868,147,190,8,2403,57505
"New Jersey",152096,1082,10747,156,134311,531950
"New Mexico",6317,125,283,7,4049,147344
"New York",363249,1619,28758,110,272484,2622544
"North Carolina",33460,448,2055,30,23874,287206
"North Dakota",2095,101,49,4,744,59200
"Ohio",29436,445,1781,57,22741,195738
"Oklahoma",5532,43,299,5,967,123560
"Oregon",3801,75,144,4,2251,102049
"Pennsylvania",85885,2081,3512,87,67171,368743
"Rhode Island",13356,405,538,6,11932,167338
"South Carolina",9175,119,407,6,2725,138238
"South Dakota",4177,92,46,1,1108,30389
"Tennessee",18532,154,309,4,6440,354031
"Texas",53009,659,5060,43,19715,788734
"Utah",7710,192,90,10,3437,179664
"Vermont",944,23,54,1,66,81343
"Virginia",32908,763,1074,33,27563,235199
"Washington",33460,448,2055,30,23874,287206
"West Virginia",33460,448,2055,30,23874,287206
"Wisconsin",13413,528,481,14,5204,167338
"Wyoming",33460,448,2055,30,23874,287206
