,Experiment,Experiment,Control,Control
1552496_a_at,137.77899,135.23634,87.58095,96.0877
1552641_s_at,63.07539,69.10806,105.67272,101.644104
1552651_a_at,68.20677,61.96557,51.257538,52.870148
1552729_at,84.06818,87.28881,71.738266,72.91644
1553112_s_at,91.99337,102.06438,118.24961,132.83365
1553162_x_at,137.58109,136.31696,111.60472,102.17981
1553205_at,56.885796,53.398052,39.47717,38.396965
1553220_at,60.238697,61.906776,78.515144,71.37185
1553262_a_at,113.61681,101.53595,96.34061,104.05217
1553535_a_at,218.88145,230.46127,206.14508,187.72964
1553538_s_at,11115.665,12763.22,12299.559,12549.814
1553551_s_at,7240.931,7701.0684,7126.4097,7380.4155
1553567_s_at,8252.859,7916.654,8483.454,8744.378
1553569_at,13062.664,13320.65,13031.392,13826.742
1553570_x_at,12851.462,13317.587,12988.021,13546.842
1553588_at,12043.582,12803.223,11810.023,12258.706
1553704_x_at,367.78586,341.71817,285.6978,247.83524
1553718_at,138.48422,128.46553,115.857285,115.39315
1553858_at,282.14783,292.55423,183.87294,152.26772
1553972_a_at,1656.5914,1820.4845,918.3372,1027.78
1553983_at,141.51692,134.89925,69.05915,79.7406
1554007_at,4320.38,4176.9287,3194.5637,2669.74
1554016_a_at,135.7586,149.80219,129.52643,129.01035
1554050_at,144.45728,144.28506,89.04619,94.82982
1554082_a_at,270.3663,297.54947,312.22635,279.98444
1554105_at,97.90113,111.149055,80.19187,76.288345
1554160_a_at,51.10115,50.22293,37.45182,39.021225
1554177_a_at,93.780876,86.22302,52.40795,47.647984
1554397_s_at,72.0331,71.06747,84.41393,76.50833
1554464_a_at,600.4484,675.73395,437.84625,427.91074
1554539_a_at,129.09174,126.7636,90.045265,83.443054
1554593_s_at,477.66476,432.22568,277.4478,280.91843
1554679_a_at,4018.0493,4152.0513,3099.4417,2979.4663
1554762_a_at,247.82835,268.5328,196.8218,185.80283
1554952_s_at,106.86683,99.26397,63.656445,61.17174
1555202_a_at,144.34702,152.27426,130.96043,127.4533
1555278_a_at,764.0722,729.4368,575.485,488.52582
1555279_at,170.37524,171.48225,142.55516,139.33429
1555310_a_at,147.6747,134.047,112.13831,106.162796
1555359_at,67.87363,75.6512,52.849373,53.47272
1555437_at,65.36209,61.418175,43.044537,43.784657
1555452_at,128.0284,136.14545,102.76581,106.09019
1555630_a_at,2489.4915,2856.6096,2431.3042,2442.9067
1555716_a_at,153.54547,145.39137,212.41797,186.85007
1555724_s_at,1119.9525,1126.1991,2122.064,2325.5654
1555736_a_at,416.1768,446.29745,298.1821,324.49585
1555764_s_at,2084.8628,2085.8997,2096.21,1762.3749
1555860_x_at,171.15068,157.52989,146.90585,135.63254
1555889_a_at,1779.6509,1684.9685,1146.1571,1171.092
1555961_a_at,6556.1177,6351.1577,6323.7305,5875.778
1556056_at,88.50138,82.84157,75.78333,67.96086
1556129_at,129.67387,119.81217,96.34188,103.7401
1556165_at,379.45258,374.2299,196.51726,238.81526
1556306_at,102.06778,105.37856,46.850487,50.912468
1557055_s_at,162.93709,161.46138,118.87075,107.85008
1557303_at,83.604355,91.1189,39.943718,43.96812
1557453_at,35.007275,33.849316,51.62634,51.398006
1557651_x_at,91.75566,100.53836,79.11428,74.52732
1557700_at,65.99295,65.88396,35.38814,31.14517
1557765_at,127.11536,119.95569,27.178003,19.759909
1558164_s_at,110.673676,108.322464,70.47851,84.19161
1558686_at,87.849174,82.58017,92.431946,89.388985
1558942_at,915.3989,954.6433,811.8501,728.33105
1560446_at,44.590557,48.10636,73.548645,68.33101
1561093_at,125.71254,135.86023,102.36369,115.20855
1561871_at,108.35949,95.49043,114.352165,104.58276
1562460_at,124.647606,112.97759,102.36305,104.97923
1566671_a_at,52.092815,50.05499,46.174355,47.277668
1569105_at,100.112,95.11361,73.97184,80.15597
1569396_at,79.998886,74.17409,54.73883,50.787613
1570410_at,96.45238,100.49235,79.90135,83.67913
1570552_at,96.665665,94.157585,65.98808,57.314827
1773_at,73.07044,86.363976,98.410866,97.98643
200000_s_at,1567.3337,1493.6528,1313.1119,1102.5653
200002_at,8104.8057,8368.04,7656.957,7110.8716
200003_s_at,10797.93,11468.551,10120.752,10129.434
200004_at,8342.495,8190.2617,8299.06,8479.271
200005_at,3409.8481,3672.004,3246.7993,2813.239
200010_at,9105.461,10057.939,8924.869,8483.078
200012_x_at,8135.692,8449.807,8215.161,7771.3535
200013_at,11281.557,12404.234,11490.808,11678.637
200016_x_at,9327.643,11041.765,10970.48,10729.822
200017_at,12148.183,12589.557,11051.659,11084.993
200018_at,11308.413,11579.503,11047.963,11027.512
200019_s_at,8263.603,8661.467,7881.554,7572.0337
200022_at,8659.646,9443.155,8391.227,8138.091
200023_s_at,6565.772,6963.272,5756.767,4838.231
200024_at,7603.759,8026.744,7308.0454,7313.787
200025_s_at,11249.743,11582.611,10669.159,10694.119
200026_at,8344.674,8948.735,8405.306,8076.781
200029_at,8761.574,9707.355,8455.125,7999.7188
200030_s_at,7125.251,7067.4263,6538.2695,6730.9736
200031_s_at,11859.443,12451.184,10869.925,10651.838
200032_s_at,11228.153,11482.638,10551.141,10758.081
200034_s_at,9960.111,10103.119,8933.304,9133.698
200035_at,405.2722,413.78363,309.954,263.88544
200036_s_at,7892.033,8374.957,7304.747,6325.804
200038_s_at,12752.299,12031.733,11513.579,10951.272
200039_s_at,4607.6187,4776.9663,4188.749,3489.4282
200041_s_at,1585.7483,1599.5652,1175.0383,1271.4808
200047_s_at,4139.4204,4632.741,4276.206,3882.6086
200059_s_at,5379.1084,5958.0938,5828.2197,5171.9463
200061_s_at,8942.154,9332.466,8505.397,8858.82
200062_s_at,10517.583,10837.624,10459.005,9870.631
200063_s_at,10042.945,10768.618,10875.812,10097.203
200077_s_at,7859.687,8594.765,7140.5986,6376.6973
200080_s_at,10002.967,10816.825,10394.004,10699.861
200081_s_at,9852.893,10586.394,9980.952,9163.834
200082_s_at,8814.362,9506.213,8019.9395,7540.3755
200088_x_at,10874.8125,11497.569,10047.4,9808.016
200089_s_at,10769.352,11807.814,10730.886,9615.308
200092_s_at,11592.607,11818.403,11221.119,10440.596
200094_s_at,8260.107,7638.5605,5974.947,6128.081
200095_x_at,11984.662,11939.116,11900.853,12261.7295
200099_s_at,13434.69,13407.463,12657.967,11969.041
200599_s_at,6423.51,6912.119,6350.763,5380.047
200602_at,3707.3352,3510.8372,3211.583,2708.3853
200614_at,5680.6973,5857.539,5569.403,5248.9146
200627_at,9400.859,9661.097,8910.674,8292.199
200630_x_at,9370.645,9907.998,8934.668,8558.656
200633_at,9238.005,10152.278,9310.363,8521.893
200643_at,441.14075,432.57468,380.2372,390.5477
200651_at,9506.168,9851.604,8593.191,8807.163
200657_at,6853.337,7037.855,6428.4883,6166.27
200668_s_at,5250.608,5578.3267,5346.731,5115.132
200672_x_at,453.63614,446.3606,441.80115,481.87772
200674_s_at,7715.8457,8371.564,7491.1016,7308.5435
200675_at,3179.923,3238.6902,3064.867,3601.339
200689_x_at,8021.069,8348.116,7328.858,7116.0396
200701_at,3572.3958,3473.0276,2656.419,2483.6824
200703_at,6705.478,7243.435,7061.22,7681.667
200716_x_at,11001.352,11532.974,9857.173,9798.0625
200717_x_at,11788.933,12769.634,12350.079,11925.62
200718_s_at,8257.334,9436.51,9108.465,8652.191
200725_x_at,6511.859,6875.649,5831.839,6085.3926
200735_x_at,10781.653,11253.41,10380.141,9160.418
200741_s_at,10502.319,11018.964,10036.216,10552.919
200744_s_at,1285.5201,1354.2634,1298.1259,1117.4716
200763_s_at,11176.48,12295.503,10945.714,11176.62
200773_x_at,8168.7964,8404.384,8071.166,8250.765
200775_s_at,5756.607,6604.3,6336.774,6620.2144
200780_x_at,6925.5703,6681.699,6028.3066,5505.459
200781_s_at,8520.085,9344.016,8674.623,8444.714
200801_x_at,11726.94,11661.565,11716.31,13128.767
200807_s_at,10427.022,11706.191,11104.062,11332.847
200809_x_at,10019.604,10738.479,9057.483,8993.628
200817_x_at,12174.382,12408.934,12251.562,12451.2
200824_at,7882.3096,7114.135,4863.0874,4340.9717
200834_s_at,10176.454,10476.241,9385.652,9845.972
200844_s_at,5559.247,6431.017,5225.1973,4864.724
200858_s_at,10797.344,10728.63,9299.01,8858.662
200863_s_at,2874.0125,3031.6519,2831.7568,2467.6267
